date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:35	52991/52991	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2011:58:31%20GMT	https://demo.dashboardpack.com/admindek-html/index.html	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/index.html	(from )
11:59:37	155764/155764	---MCZ	200	added ('OK')	text/css	etag:W/%22632d9eb8-26074%22	https://demo.dashboardpack.com/admindek-html/files/bower_components/bootstrap/css/bootstrap.min.css	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/bower_components/bootstrap/css/bootstrap.min.css	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:38	4825/4825	---MCZ	200	added ('OK')	text/css	etag:W/%22632d9e79-12d9%22	https://demo.dashboardpack.com/admindek-html/files/assets/pages/waves/css/waves.min.css	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/pages/waves/css/waves.min.css	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:38	9786/9786	---MCZ	200	added ('OK')	text/css	etag:W/%22632d98f2-3018%22	https://demo.dashboardpack.com/admindek-html/files/assets/icon/feather/css/feather.css	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/icon/feather/css/feather.css	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:38	34684/34684	---MCZ	200	added ('OK')	text/css	etag:W/%22632d98e0-877c%22	https://demo.dashboardpack.com/admindek-html/files/assets/css/font-awesome-n.min.css	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/css/font-awesome-n.min.css	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:38	11512/11512	---MCZ	200	added ('OK')	text/css	etag:W/%22632d9ec5-2cf8%22	https://demo.dashboardpack.com/admindek-html/files/bower_components/chartist/css/chartist.css	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/bower_components/chartist/css/chartist.css	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:39	315024/315024	---MCZ	200	added ('OK')	text/css	etag:W/%22632d98e2-4eca6%22	https://demo.dashboardpack.com/admindek-html/files/assets/css/style.css	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/css/style.css	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:39	17868/17868	---MCZ	200	added ('OK')	text/css	etag:W/%22632d98e3-5e94%22	https://demo.dashboardpack.com/admindek-html/files/assets/css/widget.css	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/css/widget.css	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:39	2340/2340	---M--	200	added ('OK')	image/png	etag:%22632d9982-924%22	https://demo.dashboardpack.com/admindek-html/files/assets/images/logo.png	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/images/logo.png	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:39	2660/2660	---M--	200	added ('OK')	image/jpeg	etag:%22632d995c-a64%22	https://demo.dashboardpack.com/admindek-html/files/assets/images/avatar-4.jpg	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/images/avatar-4.jpg	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:40	3090/3090	---M--	200	added ('OK')	image/jpeg	etag:%22632d995d-c12%22	https://demo.dashboardpack.com/admindek-html/files/assets/images/avatar-3.jpg	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/images/avatar-3.jpg	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:40	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202024%2002:59:50%20GMT	https://demo.dashboardpack.com/admindek-html/email-inbox.html	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/email-inbox.html	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:41	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202024%2002:59:50%20GMT	https://demo.dashboardpack.com/admindek-html/auth-lock-screen.html	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/auth-lock-screen.html	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:41	284/284	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202024%2002:59:51%20GMT	https://demo.dashboardpack.com/admindek-html/auth-sign-in-social.html	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/auth-sign-in-social.html	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:41	2735/2735	---M--	200	added ('OK')	image/jpeg	etag:%22632d995d-aaf%22	https://demo.dashboardpack.com/admindek-html/files/assets/images/avatar-2.jpg	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/files/assets/images/avatar-2.jpg	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:41	52714/52714	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2011:30:04%20GMT	https://demo.dashboardpack.com/admindek-html/default/dashboard-crm.html	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/default/dashboard-crm.html	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:42	46163/46163	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2011:30:04%20GMT	https://demo.dashboardpack.com/admindek-html/default/dashboard-analytics.html	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/default/dashboard-analytics.html	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:42	43096/43096	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2011:30:30%20GMT	https://demo.dashboardpack.com/admindek-html/default/menu-static.html	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/default/menu-static.html	(from https://demo.dashboardpack.com/admindek-html/index.html)
11:59:42	42643/42643	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2011:30:29%20GMT	https://demo.dashboardpack.com/admindek-html/default/menu-header-fixed.html	D:/Project/django/nvk-app/templates/AdminDeck/demo.dashboardpack.com/admindek-html/default/menu-header-fixed.html	(from https://demo.dashboardpack.com/admindek-html/index.html)
